Warning_description,klngTrackID,strTrackTitle,strArtist,strAlbum,strRefTrCIMEB,datTrackLength,strFile,ysnVinyl
Null values in non-key columns. Record loaded into model: ,0,Zzzz § Chuuut ;-),Zzzz § For Exercises without music § Pour les exercices sans musique §,,EXT-00-00,,,False
Null values in non-key columns. Record loaded into model: ,12,"Air (on the G-string) - Orchester-Suite 3 D-Dur - 2, BWV 1068",,Violin Concertos; Concerto for 2 Violins; Air from Suite No.3,IBF-01-21,1899-12-30 00:05:19,"IBF01 - 21 - Bach (Henryk Szeryng - Sir Neville Marriner - Academy of St. Martin in the Fields) - Air (on the G-string), Suite No.3 in D.mp3",False
Null values in non-key columns. Record loaded into model: ,69,"Adagio ma non troppo - Concerto Brandebourgeois 3 - 2, G-Dur BWV 1048",,Vivaldi: The 4 Seasons; Pachelbel: Canon; Bach: Brandenburg Concerto 3,SCR-09-08,1899-12-30 00:03:19,"SCR09 - 08 - Bach (Jonathan Carney - Royal Philharmonic Orchestra) - Adagio ma non troppo - Concerto Brandebourgeois 3 - 2, G-Dur BWV 1048.mp3",False
Null values in non-key columns. Record loaded into model: ,109,"Gloria in excelsis Deo (Riccardo Muti) - Gloria in Re Maggiore - 1, RV 589",,Vivaldi: Magnificat & Gloria,IBF-03-19,1899-12-30 00:02:22,"IBF03 - 19 - Vivaldi (Riccardo Muti - New Philharmonia Orchestra & Chorus) - Gloria in excelsis Deo - Gloria in Re Maggiore - 1, RV 589.mp3",False
Null values in non-key columns. Record loaded into model: ,136,"Allegro non molto - Concerto 'L'inverno' in fa minore -1 (Le quattro stagioni op.8/4, RV 297)",,Le Quattro Stagioni (Karajan),SCR-05-12,1899-12-30 00:03:28,"SCR05 - 12 - Vivaldi (Karajan - Berliner Philharmoniker) - Allegro non molto - Concerto 'L'inverno' in fa minore -1 - Le quattro stagioni op.8-4, RV 297.mp3",False
Null values in non-key columns. Record loaded into model: ,411,Canon in D major,,Canon & Gigue (János Rolla),MMU-02-18,1899-12-30 00:05:48,MMU02 - 18 - Pachelbel (János Rolla - Franz Liszt Chamber Orchestra) - Canon in D major.mp3,False
Null values in non-key columns. Record loaded into model: ,414,"Hallelujah - Messiah, HWV 56 - Part II/42",,Handel: Messiah,IBF-03-20,1899-12-30 00:03:40,"IBF03 - 20 - Haendel (Sir Georg Solti - Chicago Symphony Orchestra & Chorus) - Hallelujah - Messiah, HWV 56 - Part II-42.mp3",False
Null values in non-key columns. Record loaded into model: ,581,"Allegro - Concerto 'La primavera' in Mi Maggiore - 1 (Le quattro stagioni op.8/1, RV 269)",,Maestros de la música clásica - Antonio Vivaldi. Las Cuatro Estaciones,IBF-03-18,1899-12-30 00:03:28,"IBF01 - 19 - Vivaldi (The Royal Vivaldi Symphony) - La primavera - 1.Allegro (Le quattro stagioni op.8-1, RV 269).mp3",False
Null values in non-key columns. Record loaded into model: ,584,"Allegro - Concerto 'L'autunno' in Fa Maggiore - 3 (Le quattro stagioni op.8/3, RV 293)",,Maestros de la música clásica - Antonio Vivaldi. Las Cuatro Estaciones,MMU-07-14,1899-12-30 00:03:29,"MMU07 - 14 - Vivaldi (The Royal Vivaldi Symphony) - Allegro - Concerto 'L'autunno' in Fa Maggiore - 3 (Le quattro stagioni op.8-3, RV 293).mp3",False
Null values in non-key columns. Record loaded into model: ,585,"Allegro non molto - Concerto 'L'inverno' in fa minore -1 (Le quattro stagioni op.8/4, RV 297)",,Maestros de la música clásica - Antonio Vivaldi. Las Cuatro Estaciones,IBF-16-13,1899-12-30 00:03:40,"IBF16 - 13 - Vivaldi (The Royal Vivaldi Symphony) - Allegro non molto - Concerto 'L'inverno' in fa minore -1 (Le quattro stagioni op.8-4, RV 297).mp3",False
